,Village_Area_Name,Beat_Name,Year,count
3645,ANKAVALLY,New Beat NO 24..,2018,1
3646,ANKAVALLY,New Beat NO 24..,2020,1
3647,ANKAVALLY,New Beat NO 24..,2021,3
3648,ANKEGOWDANADODDI,NEW BEAT 35..,2023,2
3649,ANKEGOWDANAKOPPALU,New Beat 35..,2018,1
3650,ANKEGOWDANAKOPPALU,New Beat 35..,2020,1
3651,ANKEGOWDANAKOPPALU,New Beat 35..,2021,3
3652,ANKEGOWDANAKOPPALU,New Beat 35..,2022,2
3653,ANKEGOWDANAKOPPALU,New Beat 35..,2023,2
3654,ANKIHALLI,New Village Beat 30..,2017,1
3655,ANKIHALLI,New Village Beat 30..,2018,1
3656,ANKIHALLI,New Village Beat 30..,2020,1
3657,ANKIHALLI,New Village Beat 30..,2021,1
3658,ANKIHALLI,New Village Beat 30..,2022,2
3659,ANKLI,Beat 11..,2016,1
3660,ANKLI,Beat 11..,2017,5
3661,ANKLI,Beat 11..,2018,2
3662,ANKLI,Beat 11..,2019,2
3663,ANKLI,Beat 11..,2020,2
3664,ANKLI,Beat 11..,2021,2
3665,ANKLI,Beat 11..,2022,1
3666,ANKLI,Beat 11..,2023,9
3667,ANKONAHALLI,BEAT 4..,2020,1
3668,ANKUSHAPURA,New Beat 12..,2018,2
3669,ANKUSHAPURA,New Beat 12..,2019,3
3670,ANKUSHAPURA,New Beat 12..,2020,1
3671,ANKUSHAPURA,New Beat 12..,2023,2
3672,ANKUSHAPURA,New Beat 17..,2018,2
3673,ANKUSHAPURA,New Beat 17..,2022,1
3674,ANKUSHDODDI,V Beat 6..,2016,7
3675,ANKUSHDODDI,V Beat 6..,2017,7
3676,ANKUSHDODDI,V Beat 6..,2018,2
3677,ANKUSHDODDI,V Beat 6..,2019,5
3678,ANKUSHDODDI,V Beat 6..,2020,6
3679,ANKUSHDODDI,V Beat 6..,2021,4
3680,ANKUSHDODDI,V Beat 6..,2022,5
3681,ANKUSHDODDI,V Beat 6..,2023,11
3682,ANKUSHDODDI,V Beat 6..,2024,3
3683,ANNA HAJARE GALLI,NEW BEAT 3..,2020,2
3684,ANNA HAJARE GALLI,NEW BEAT 3..,2021,1
3685,ANNAHALLI VILLAGE,New Beat No17..,2019,2
3686,ANNAHALLI VILLAGE,New Beat No17..,2020,1
3687,ANNAHALLI VILLAGE,New Beat No17..,2021,1
3688,ANNAHALLI VILLAGE,New Beat No17..,2022,3
3689,ANNAHALLI VILLAGE,New Beat No17..,2023,5
3690,ANNAHALLI VILLAGE,New Beat No17..,2024,1
3691,ANNAHALLIDODDI,NEW BEAT 40..,2019,1
3692,ANNAHALLIDODDI,NEW BEAT 40..,2022,2
3693,ANNAHALLIDODDI,NEW BEAT 40..,2023,2
3694,ANNAHALLY VILLAGE,New Village Beat  17..,2018,1
3695,ANNAHALLY VILLAGE,New Village Beat  17..,2019,2
3696,ANNAHALLY VILLAGE,New Village Beat  17..,2020,2
3697,ANNAHALLY VILLAGE,New Village Beat  17..,2021,2
3698,ANNANAGAR,ANNANAGAR..,2017,1
3699,ANNANAGARA,BEAT 04..,2016,21
3700,ANNANAGARA,BEAT 04..,2017,38
3701,ANNANAGARA,BEAT 04..,2018,37
3702,ANNANAGARA,BEAT 04..,2019,30
3703,ANNANAGARA,BEAT 04..,2020,21
3704,ANNANAGARA,BEAT 04..,2021,26
3705,ANNANAGARA,BEAT 04..,2022,28
3706,ANNANAGARA,BEAT 04..,2023,22
3707,ANNANAGARA,BEAT 04..,2024,8
3708,ANNAPOORNESHWARI NAGAR,BEAT 1..,2017,47
3709,ANNAPOORNESHWARI NAGAR,BEAT 1..,2018,60
3710,ANNAPOORNESHWARI NAGAR,BEAT 1..,2019,27
3711,ANNAPOORNESHWARI NAGAR,BEAT 1..,2020,28
3712,ANNAPOORNESHWARI NAGAR,BEAT 1..,2021,34
3713,ANNAPOORNESHWARI NAGAR,BEAT 1..,2022,29
3714,ANNAPOORNESHWARI NAGAR,BEAT 1..,2023,50
3715,ANNAPOORNESHWARI NAGAR,BEAT 1..,2024,16
3716,ANNAPOORNESHWARI NAGAR PS,Beat 12..,2024,1
3717,ANNAPOORNESHWARINAGAR,ANNAPOORNESHWARI NAGAR..,2021,1
3718,ANNAPOORNESHWARINAGAR,ANNAPOORNESHWARI NAGAR..,2022,1
3719,ANNAPURA,Beat 4..,2017,3
3720,ANNAPURA,Beat 4..,2018,2
3721,ANNAPURA,Beat 4..,2019,4
3722,ANNAPURA,Beat 4..,2020,3
3723,ANNAPURA,Beat 4..,2021,4
3724,ANNAPURA,Beat 4..,2022,3
3725,ANNAPURA,Beat 4..,2024,2
3726,ANNAPURA,Beat No12..,2018,2
3727,ANNAPURA,Beat No12..,2019,2
3728,ANNAPURA,Beat No12..,2021,1
3729,ANNAPURA,Beat No12..,2022,1
3730,ANNAPURA,Beat No12..,2023,7
3731,ANNAPURNESHWARI NAGARA,BEAT 05..,2016,39
3732,ANNAPURNESHWARI NAGARA,BEAT 05..,2017,29
3733,ANNAPURNESHWARI NAGARA,BEAT 05..,2018,33
3734,ANNAPURNESHWARI NAGARA,BEAT 05..,2019,27
3735,ANNAPURNESHWARI NAGARA,BEAT 05..,2020,10
3736,ANNAPURNESHWARI NAGARA,BEAT 05..,2021,17
3737,ANNAPURNESHWARI NAGARA,BEAT 05..,2022,21
3738,ANNAPURNESHWARI NAGARA,BEAT 05..,2023,29
3739,ANNAPURNESHWARI NAGARA,BEAT 05..,2024,5
3740,ANNAPURNESHWARINAGAR,Beat No 11..,2022,9
3741,ANNAPURNESHWARINAGAR,Beat No 11..,2023,24
3742,ANNAPURNESHWARINAGAR,Beat No 11..,2024,2
3743,ANNAPURNESWARI BADAVANE,11th Beat..,2017,1
3744,ANNAPURNESWARI BADAVANE,11th Beat..,2019,2
3745,ANNAPURNESWARI BADAVANE,11th Beat..,2023,3
3746,ANNAPURNWADI,BEAT 10..,2017,1
3747,ANNAPURNWADI,BEAT 10..,2023,1
3748,ANNARAYAPURA VILLAGE,BEET 29..,2020,1
3749,ANNARAYAPURA VILLAGE,BEET 29..,2021,1
3750,ANNASANDRA PALYA,BEAT 1..,2016,79
3751,ANNASANDRA PALYA,BEAT 1..,2017,120
3752,ANNASANDRA PALYA,BEAT 1..,2018,98
3753,ANNASANDRA PALYA,BEAT 1..,2019,117
3754,ANNASANDRA PALYA,BEAT 1..,2020,76
3755,ANNASANDRA PALYA,BEAT 1..,2021,68
3756,ANNASANDRA PALYA,BEAT 1..,2022,66
3757,ANNASANDRA PALYA,BEAT 1..,2023,175
3758,ANNASANDRA PALYA,BEAT 1..,2024,39
3759,ANNAYAKANAHALLY,NEW VILLAGE BEAT 06..,2017,2
3760,ANNAYAKANAHALLY,NEW VILLAGE BEAT 06..,2018,5
3761,ANNAYAKANAHALLY,NEW VILLAGE BEAT 06..,2019,6
3762,ANNAYAKANAHALLY,NEW VILLAGE BEAT 06..,2020,3
3763,ANNAYAKANAHALLY,NEW VILLAGE BEAT 06..,2021,2
3764,ANNAYAKANAHALLY,NEW VILLAGE BEAT 06..,2022,1
3765,ANNECHAKANAHALLI,New Beat 21..,2017,3
3766,ANNECHAKANAHALLI,New Beat 21..,2018,2
3767,ANNECHAKANAHALLI,New Beat 21..,2019,1
3768,ANNECHAKANAHALLI,New Beat 21..,2020,3
3769,ANNECHAKANAHALLI,New Beat 21..,2021,3
3770,ANNECHAKANAHALLI,New Beat 21..,2022,3
3771,ANNEDODDI,New Beat 08..,2017,2
3772,ANNEDODDI,New Beat 08..,2019,3
3773,ANNEDODDI,New Beat 08..,2020,4
3774,ANNEDODDI,New Beat 08..,2021,3
3775,ANNEDODDI,New Beat 08..,2022,2
3776,ANNEDODDI,New Beat 08..,2023,1
3777,ANNENAHALLI,NEW VILLAGE BEAT 21..,2018,3
3778,ANNENAHALLI,NEW VILLAGE BEAT 21..,2019,5
3779,ANNENAHALLI,NEW VILLAGE BEAT 21..,2020,1
3780,ANNENAHALLI VILLAGE,NEW BEAT NO 19..,2018,4
3781,ANNENAHALLI VILLAGE,NEW BEAT NO 19..,2019,1
3782,ANNENAHALLI VILLAGE,NEW BEAT NO 19..,2020,2
3783,ANNENAHALLI VILLAGE,NEW BEAT NO 19..,2021,1
3784,ANNENAHALLI VILLAGE,NEW BEAT NO 19..,2022,3
3785,ANNENAHALLI VILLAGE,NEW BEAT NO 19..,2023,2
3786,ANNEPALLI,2 BEAT..,2016,9
3787,ANNEPALLI,2 BEAT..,2017,6
3788,ANNEPALLI,2 BEAT..,2018,1
3789,ANNEPALLI,2 BEAT..,2019,1
3790,ANNEPALLI,2 BEAT..,2024,1
3791,ANNIGERE VERABHADRAPPA NAGARA,03..,2016,8
3792,ANNIGERE VERABHADRAPPA NAGARA,03..,2017,11
3793,ANNIGERE VERABHADRAPPA NAGARA,03..,2018,11
3794,ANNIGERE VERABHADRAPPA NAGARA,03..,2019,10
3795,ANNIGERE VERABHADRAPPA NAGARA,03..,2020,3
3796,ANNIGERE VERABHADRAPPA NAGARA,03..,2021,6
3797,ANNIGERE VERABHADRAPPA NAGARA,03..,2022,4
3798,ANNIGERE VERABHADRAPPA NAGARA,03..,2023,16
3799,ANNIGERE VERABHADRAPPA NAGARA,03..,2024,1
3800,ANNIGERI,NEW BEAT 02..,2018,1
3801,ANNIGERI,NEW BEAT 02..,2019,1
3802,ANNIGERI,NEW BEAT 02..,2021,3
3803,ANNIGERI,NEW BEAT 02..,2022,7
3804,ANNIGERI,NEW BEAT 02..,2023,1
3805,ANNIGERI,NEW BEAT 03..,2020,1
3806,ANNIGERI,NEW BEAT 04..,2017,1
3807,ANNIGERI,NEW BEAT O1..,2017,3
3808,ANNIGERI,NEW BEAT O1..,2018,2
3809,ANNIGERI,NEW BEAT O1..,2019,5
3810,ANNIGERI,NEW BEAT O1..,2020,6
3811,ANNIGERI,NEW BEAT O1..,2021,11
3812,ANNIGERI,NEW BEAT O1..,2022,11
3813,ANNIGERI,NEW BEAT O1..,2023,3
3814,ANNIGERI,NEW BEAT O1..,2024,3
3815,ANNIGERI,TOWN BEAT..,2016,17
3816,ANNIGERI,TOWN BEAT..,2017,20
3817,ANNIGERI,TOWN BEAT..,2018,4
3818,ANNIGERI,TOWN BEAT..,2022,2
3819,ANNIGERI,TOWN BEAT..,2023,15
3820,ANNIGERI,TOWN BEAT..,2024,4
3821,ANNIGERI TOWN,Baet6..,2023,2
3822,ANNIPUR,BEAT5..,2016,16
3823,ANNIPUR,BEAT5..,2017,20
3824,ANNIPUR,BEAT5..,2018,12
3825,ANNIPUR,BEAT5..,2019,4
3826,ANNIPUR,BEAT5..,2020,1
3827,ANNIPUR,BEAT5..,2021,1
3828,ANNIPUR,BEAT5..,2022,4
3829,ANNIPUR,BEAT5..,2023,1
3830,ANNIPUR,BEAT5..,2024,4
3831,ANNUR GOURAMMA CAMP,23..,2017,1
3832,ANNUR GOURAMMA CAMP,23..,2019,2
3833,ANOOR B ALIAS HIRENOOR,BEAT 03..,2016,9
3834,ANOOR B ALIAS HIRENOOR,BEAT 03..,2017,2
3835,ANOOR B ALIAS HIRENOOR,BEAT 03..,2018,5
3836,ANOOR B ALIAS HIRENOOR,BEAT 03..,2019,2
3837,ANOOR B ALIAS HIRENOOR,BEAT 03..,2020,2
3838,ANOOR B ALIAS HIRENOOR,BEAT 03..,2021,1
3839,ANOOR B ALIAS HIRENOOR,BEAT 03..,2022,2
3840,ANOOR B ALIAS HIRENOOR,BEAT 03..,2023,4
3841,ANOTHER JURISDICATION,11..,2021,1
3842,ANOTHER JURISDICATION,11..,2022,2
3843,ANOTHER JURISDICATION,11..,2023,5
3844,ANOTHER JURISDICTION,Other..,2016,9
3845,ANOTHER JURISDICTION,Other..,2017,5
3846,ANOTHER JURISDICTION,Other..,2018,1
3847,ANOTHER JURISDICTION,Other..,2020,2
3848,ANOTHER JURISDICTION,Other..,2021,1
3849,ANSURKAR GALLI SOUTH FULL AREA,33..,2022,1
3850,ANTARAGANGI,BEAT NO 26..,2017,1
3851,ANTARAGANGI,BEAT NO 26..,2020,2
3852,ANTARAGANGI,BEAT NO 26..,2021,1
3853,ANTARAGATTE,NONE..,2018,1
3854,ANTARAGATTE,NONE..,2019,10
3855,ANTARAGATTE,NONE..,2020,6
3856,ANTARAGATTE,NONE..,2022,5
3857,ANTARAHALLI,N W Beat 10..,2023,4
3858,ANTARAHALLI,N W Beat 10..,2024,5
3859,ANTERGATTE,BEAT NO 06..,2016,7
3860,ANTERGATTE,BEAT NO 06..,2017,5
3861,ANTERGATTE,BEAT NO 06..,2018,2
3862,ANTERGATTE,BEAT NO 06..,2020,3
3863,ANTERGATTE,BEAT NO 06..,2021,6
3864,ANTERGATTE,BEAT NO 06..,2022,7
3865,ANTERGATTE,BEAT NO 06..,2023,5
3866,ANTHANAHALLI VILLAGE,New Beat 19..,2017,2
3867,ANTHANAHALLI VILLAGE,New Beat 19..,2019,3
3868,ANTHANAHALLI VILLAGE,New Beat 19..,2020,1
3869,ANTHANAHALLI VILLAGE,New Beat 19..,2021,4
3870,ANTHANAHALLI VILLAGE,New Beat 19..,2024,1
3871,ANTHAR BHARATHI THANDA,Beat No 2..,2016,8
3872,ANTHAR BHARATHI THANDA,Beat No 2..,2017,8
3873,ANTHAR BHARATHI THANDA,Beat No 2..,2018,7
3874,ANTHAR BHARATHI THANDA,Beat No 2..,2019,2
3875,ANTHAR BHARATHI THANDA,Beat No 2..,2020,9
3876,ANTHAR BHARATHI THANDA,Beat No 2..,2021,5
3877,ANTHAR BHARATHI THANDA,Beat No 2..,2022,4
3878,ANTHAR BHARATHI THANDA,Beat No 2..,2023,7
3879,ANTHAR BHARATHI THANDA,Beat No 2..,2024,1
3880,ANTHARAGANGE,BEAT 3..,2016,39
3881,ANTHARAGANGE,BEAT 3..,2017,30
3882,ANTHARAGANGE,BEAT 3..,2018,17
3883,ANTHARAGANGE,BEAT 3..,2019,22
3884,ANTHARAGANGE,BEAT 3..,2020,18
3885,ANTHARAGANGE,BEAT 3..,2021,12
3886,ANTHARAGANGE,BEAT 3..,2022,11
3887,ANTHARAGANGE,BEAT 3..,2023,16
3888,ANTHARAGANGE,BEAT 3..,2024,2
3889,ANTHARASANAHALLI,18..,2017,2
3890,ANTHARASANAHALLI,18..,2018,5
3891,ANTHARASANAHALLI,18..,2019,6
3892,ANTHARASANAHALLI,18..,2020,5
3893,ANTHARASANAHALLI,18..,2021,18
3894,ANTHARASANAHALLI,18..,2022,5
3895,ANTHARASANAHALLI,18..,2023,21
3896,ANTHARASANAHALLI,18..,2024,2
3897,ANTHARASANTHE,BEAT  NO 05..,2016,4
3898,ANTHARASANTHE,BEAT  NO 05..,2017,14
3899,ANTHARASANTHE,BEAT  NO 05..,2018,6
3900,ANTHARASANTHE,BEAT  NO 05..,2019,15
3901,ANTHARASANTHE,BEAT  NO 05..,2020,13
3902,ANTHARASANTHE,BEAT  NO 05..,2021,6
3903,ANTHARASANTHE,BEAT  NO 05..,2022,3
3904,ANTHARASANTHE,BEAT  NO 05..,2023,3
3905,ANTHARASANTHE,BEAT  NO 05..,2024,1
3906,ANTHAVALLI,5..,2016,14
3907,ANTHAVALLI,5..,2017,4
3908,ANTRASANAHALLI,02..,2016,19
3909,ANTRASANAHALLI,02..,2017,18
3910,ANTRASANAHALLI,02..,2018,4
3911,ANTRASANAHALLI,02..,2019,7
3912,ANTRASANAHALLI,02..,2020,1
3913,ANTRASANAHALLI,02..,2021,5
3914,ANTRASANAHALLI,02..,2022,4
3915,ANTRASANAHALLI,02..,2023,11
3916,ANTRASANAHALLI,02..,2024,2
3917,ANTUR,BEAT 04..,2017,1
3918,ANTUR,BEAT 04..,2018,2
3919,ANTUR,BEAT 04..,2019,1
3920,ANTUR,BEAT 04..,2020,3
3921,ANTUR,BEAT 04..,2021,1
3922,ANTUR,BEAT 04..,2022,2
3923,ANTUR,BEAT 04..,2023,4
3924,ANTUR,BEAT 37..,2019,2
3925,ANTUR,BEAT 37..,2020,2
3926,ANTUR,BEAT 37..,2021,1
3927,ANTUR,BEAT 37..,2023,1
3928,ANTUR,BEAT 37..,2024,1
3929,ANUDI,BEAT 23..,2016,4
3930,ANUDI,BEAT 23..,2017,3
3931,ANUDI,BEAT 23..,2018,2
3932,ANUDI,BEAT 23..,2019,1
3933,ANUDI,BEAT 23..,2020,2
3934,ANUDI,BEAT 23..,2024,1
3935,ANUGANALU,New Village Beat 18..,2018,2
3936,ANUGANALU,New Village Beat 18..,2019,2
3937,ANUGANALU,New Village Beat 18..,2021,1
3938,ANUGANALU,New Village Beat 18..,2022,2
3939,ANUGAVALLI,NEW  BEAT 01..,2018,2
3940,ANUGAVALLI,NEW  BEAT 01..,2019,4
3941,ANUGAVALLI,NEW  BEAT 01..,2020,1
3942,ANUGAVALLI,NEW  BEAT 01..,2022,2
3943,ANUGONDANAHALLI,BEAT 1..,2016,15
3944,ANUGONDANAHALLI,BEAT 1..,2017,12
3945,ANUGONDANAHALLI,BEAT 1..,2018,21
3946,ANUGONDANAHALLI,BEAT 1..,2019,13
3947,ANUGONDANAHALLI,BEAT 1..,2020,16
3948,ANUGONDANAHALLI,BEAT 1..,2021,12
3949,ANUGONDANAHALLI,BEAT 1..,2022,22
3950,ANUGONDANAHALLI,BEAT 1..,2023,23
3951,ANUGONDANAHALLI,BEAT 1..,2024,3
3952,ANUPAHALLY,Beat no 12..,2016,1
3953,ANUPAHALLY,Beat no 12..,2017,2
3954,ANUR,BEAT NO 3..,2016,1
3955,ANUR,BEAT NO 3..,2019,4
3956,ANUR,BEAT NO 3..,2020,3
3957,ANUR,BEAT NO 3..,2021,1
3958,ANUR,BEAT NO 3..,2022,1
3959,ANUR,BEAT NO 3..,2023,4
3960,ANUVINAKATTE,New Beat 09..,2022,1
3961,ANWARI VILLAGE,BEAT NO 15..,2018,2
3962,ANWARI VILLAGE,BEAT NO 15..,2019,2
3963,ANWARI VILLAGE,BEAT NO 15..,2021,1
3964,APC LYT,Beat 7..,2016,7
3965,APC LYT,Beat 7..,2017,4
3966,APC LYT,Beat 7..,2018,4
3967,APC LYT,Beat 7..,2019,5
3968,APC LYT,Beat 7..,2020,2
3969,APC LYT,Beat 7..,2021,5
3970,APC LYT,Beat 7..,2022,9
3971,APC LYT,Beat 7..,2023,11
3972,APC LYT,Beat 7..,2024,1
3973,APMC,TOWN BEAT 4..,2016,5
3974,APMC,TOWN BEAT 4..,2017,9
3975,APMC,TOWN BEAT 4..,2018,9
3976,APMC,TOWN BEAT 4..,2019,3
3977,APMC,TOWN BEAT 4..,2020,6
3978,APMC,TOWN BEAT 4..,2021,8
3979,APMC,TOWN BEAT 4..,2022,7
3980,APMC,TOWN BEAT 4..,2023,10
3981,APMC,TOWN BEAT 4..,2024,1
3982,APMC GATE TO STADIUM CROSS LEFT SIDE,ZDelBeat 21..,2019,1
3983,APMC GATE TO STADIUM CROSS LEFT SIDE,ZDelBeat 21..,2021,1
3984,APMC MARKET,7..,2016,1
3985,APMC MARKET,7..,2017,2
3986,APMC MARKET,7..,2018,1
3987,APMC MARKET,7..,2019,1
3988,APMC MARKET,7..,2020,1
3989,APMC MARKET,7..,2021,1
3990,APMC MARKET,7..,2022,2
3991,APMC MARKET,7..,2023,1
3992,APMC MARKET,7..,2024,1
3993,APMC PS LIMITS,APMC PS Area..,2017,6
3994,APMC PS LIMITS,APMC PS Area..,2018,5
3995,APMC PS LIMITS,APMC PS Area..,2019,5
3996,APMC PS LIMITS,APMC PS Area..,2020,4
3997,APMC PS LIMITS,APMC PS Area..,2021,6
3998,APMC PS LIMITS,APMC PS Area..,2022,10
3999,APMC PS LIMITS,APMC PS Area..,2023,12
4000,APMC PS LIMITS,APMC PS Area..,2024,1
4001,APMC PS LIMITS,APMC..,2019,1
4002,APMC PS LIMITS,APMC..,2020,3
4003,APMC PS LIMITS,APMC..,2021,8
4004,APMC PS LIMITS,APMC..,2022,19
4005,APMC PS LIMITS,APMC..,2023,17
4006,APMC PS LIMITS,APMC..,2024,2
4007,APMC PS LIMITS,apmc ps limts..,2016,16
4008,APMC PS LIMITS,apmc ps limts..,2017,6
4009,APMC PS LIMITS,apmc ps limts..,2018,11
4010,APMC PS LIMITS,apmc ps limts..,2019,17
4011,APMC PS LIMITS,apmc ps limts..,2020,7
4012,APMC PS LIMITS,apmc ps limts..,2021,13
4013,APMC PS LIMITS,apmc ps limts..,2022,11
4014,APMC PS LIMITS,apmc ps limts..,2023,14
4015,APMC PS LIMITS,apmc ps limts..,2024,3
4016,APMC YARD,3 BEAT..,2016,8
4017,APMC YARD,3 BEAT..,2017,6
4018,APMC YARD,3 BEAT..,2018,5
4019,APMC YARD,3 BEAT..,2020,3
4020,APMC YARD,3 BEAT..,2021,1
4021,APMC YARD,3 BEAT..,2022,2
4022,APMC YARD,3 BEAT..,2023,4
4023,APMC YARD,3 BEAT..,2024,1
4024,APMC YARD,EXTN Beat 3..,2022,1
4025,APMC YARD,Mudhol Town Beat 2..,2016,3
4026,APMC YARD,Mudhol Town Beat 2..,2017,3
4027,APMC YARD,Mudhol Town Beat 2..,2018,12
4028,APMC YARD,Mudhol Town Beat 2..,2019,3
4029,APMC YARD,Mudhol Town Beat 2..,2020,1
4030,APMC YARD,Mudhol Town Beat 2..,2021,6
4031,APMC YARD,Mudhol Town Beat 2..,2022,15
4032,APMC YARD,Mudhol Town Beat 2..,2023,12
4033,APMC YARD,Mudhol Town Beat 2..,2024,2
4034,APMC YARD,WARD NO 1..,2016,3
4035,APMC YARD,WARD NO 1..,2021,1
4036,APMC YARD,WARD NO 1..,2022,1
4037,APMC YARD,WARD NO 1..,2023,3
4038,APMC YARD.,BEAT 24..,2017,2
4039,APMC YARD.,BEAT 24..,2018,1
4040,APMC YARD.,BEAT 24..,2020,3
4041,APMC YARD.,BEAT 24..,2021,5
4042,APMC YARD.,BEAT 24..,2022,4
4043,APMC YARD.,BEAT 24..,2023,1
4044,APMC YARD.,BEAT 24..,2024,1
4045,APPACHIWADI,BEAT 0..,2016,8
4046,APPACHIWADI,BEAT 0..,2017,1
4047,APPACHIWADI,Beat 13 Appachiwadi 01..,2020,1
4048,APPACHIWADI,Beat 13 Appachiwadi 01..,2023,2
4049,APPAGERE,BEAT 12..,2016,1
4050,APPAGERE,BEAT 12..,2017,4
4051,APPAGERE,BEAT 12..,2018,3
4052,APPAGERE,BEAT 12..,2019,3
4053,APPAGERE,BEAT 12..,2020,8
4054,APPAGERE,BEAT 12..,2021,6
4055,APPAGERE,BEAT 12..,2022,2
4056,APPAGERE,BEAT 12..,2023,4
4057,APPAJAIAHNADODDI,N W Beat 11..,2024,2
4058,APPAJAYANADODDI,New Beat No 29..,2018,4
4059,APPAJAYANADODDI,New Beat No 29..,2020,3
4060,APPAJAYANADODDI,New Beat No 29..,2022,1
4061,APPAKARANAHALLI,BEAT NO 5..,2016,5
4062,APPAKARANAHALLI,BEAT NO 5..,2017,6
4063,APPAKARANAHALLI,BEAT NO 5..,2018,1
4064,APPAKARANAHALLI,BEAT NO 5..,2019,1
4065,APPAKARANAHALLI,BEAT NO 5..,2020,3
4066,APPAKARANAHALLI,BEAT NO 5..,2021,5
4067,APPAKARANAHALLI,BEAT NO 5..,2022,6
4068,APPAKARANAHALLI,BEAT NO 5..,2023,4
4069,APPAKARANAHALLI,BEAT NO 5..,2024,3
4070,APPANADODDI,Beat6..,2017,3
4071,APPANADODDI,Beat6..,2023,1
4072,APPARA MADDI SHAHABAD,Beat No 17..,2018,2
4073,APPARA MADDI SHAHABAD,Beat No 17..,2019,3
4074,APPARA MADDI SHAHABAD,Beat No 17..,2021,1
4075,APPARA MADDI SHAHABAD,Beat No 17..,2022,1
4076,APPARA MADDI SHAHABAD,Beat No 17..,2023,1
4077,APPASANDRA,16..,2016,7
4078,APPASANDRA,16..,2017,8
4079,APPASANDRA,16..,2018,8
4080,APPASANDRA,16..,2019,6
4081,APPASANDRA,16..,2020,9
4082,APPASANDRA,16..,2021,8
4083,APPASANDRA,16..,2022,7
4084,APPASANDRA,16..,2023,18
4085,APPASANDRA,16..,2024,1
4086,APPENAHALLI,37..,2018,2
4087,APPENAHALLI,37..,2020,1
4088,APPENAHALLI,37..,2021,2
4089,APPENAHALLI,37..,2023,1
4090,APPENAHALLI THAND.,BEAT 12..,2016,4
4091,APPENAHALLI THAND.,BEAT 12..,2017,4
4092,APPENAHALLI THAND.,BEAT 12..,2018,2
4093,APPENAHALLI THAND.,BEAT 12..,2019,1
4094,APPENAHALLI THAND.,BEAT 12..,2020,7
4095,APPENAHALLI THAND.,BEAT 12..,2021,3
4096,APPENAHALLI THAND.,BEAT 12..,2022,4
4097,APPENAHALLI THAND.,BEAT 12..,2023,4
4098,APPENAHALLI VILLAGE,11th Village beat..,2016,3
4099,APSARAKONDA,BEAT NO 01..,2016,12
4100,APSARAKONDA,BEAT NO 01..,2017,10
4101,APSARAKONDA,BEAT NO 01..,2018,10
4102,APSARAKONDA,BEAT NO 01..,2019,7
4103,APSARAKONDA,BEAT NO 01..,2020,17
4104,APSARAKONDA,BEAT NO 01..,2021,13
4105,APSARAKONDA,BEAT NO 01..,2022,6
4106,APSARAKONDA,BEAT NO 01..,2023,8
4107,APSARAKONDA,BEAT NO 01..,2024,3
4108,ARABHAVI,15..,2017,2
4109,ARABHAVI,15..,2018,6
4110,ARABHAVI,15..,2019,7
4111,ARABHAVI,15..,2020,5
4112,ARABHAVI,15..,2021,9
4113,ARABHAVI,15..,2022,8
4114,ARABHAVI,15..,2023,15
4115,ARABHAVI,15..,2024,1
4116,ARABHAVI,4..,2016,4
4117,ARABHAVI,4..,2017,8
4118,ARABHAVI,4..,2018,4
4119,ARABHAVI,4..,2019,5
4120,ARABHAVI,4..,2020,7
4121,ARABHAVI,4..,2021,4
4122,ARABHAVI,4..,2022,4
4123,ARABHAVI,4..,2023,7
4124,ARADHANA LAYOUT,23rd Beat..,2018,1
4125,ARADHANA LAYOUT,23rd Beat..,2019,3
4126,ARADHANA LAYOUT,23rd Beat..,2020,3
4127,ARADHANA LAYOUT,23rd Beat..,2022,3
4128,ARADHANA LAYOUT,23rd Beat..,2023,4
4129,ARADHANA LAYOUT,23rd Beat..,2024,1
4130,ARAGIN TALAV,BEAT NO 03..,2016,6
4131,ARAGIN TALAV,BEAT NO 03..,2017,5
4132,ARAGIN TALAV,BEAT NO 03..,2019,1
4133,ARAGIN TALAV,BEAT NO 03..,2022,1
4134,ARAGIN TALAV,BEAT NO 03..,2023,1
4135,ARAGIN TALAV,BEAT NO 03..,2024,1
4136,ARAGINAMELE,New Beat 09..,2017,3
4137,ARAGINAMELE,New Beat 09..,2018,5
4138,ARAGINAMELE,New Beat 09..,2019,5
4139,ARAGINAMELE,New Beat 09..,2022,1
4140,ARAGINAMELE,New Beat 09..,2023,3
4141,ARAGINMARCAMP,03..,2016,12
4142,ARAGINMARCAMP,03..,2017,12
4143,ARAGINMARCAMP,03..,2018,15
4144,ARAGINMARCAMP,03..,2019,7
4145,ARAGINMARCAMP,03..,2020,18
4146,ARAGINMARCAMP,03..,2021,9
4147,ARAGINMARCAMP,03..,2022,8
4148,ARAGINMARCAMP,03..,2023,8
4149,ARAHALLI,15..,2018,3
4150,ARAHALLI,15..,2021,2
4151,ARAHALLI,15..,2022,4
4152,ARAHALLI,15..,2023,1
4153,ARAHATTI,BEAT5..,2018,1
4154,ARAHUNASI VILLAGE,NEW BEAT 07..,2021,3
4155,ARAHUNASI VILLAGE,NEW BEAT 07..,2022,1
4156,ARAJUNAGI K D,31..,2017,1
4157,ARAJUNAGI K D,31..,2018,2
4158,ARAJUNAGI K D,31..,2019,2
4159,ARAJUNAGI K D,31..,2020,1
4160,ARAJUNAGI K D,31..,2021,1
4161,ARAJUNAGI K D,31..,2022,1
